name,price,old price,rating,perc_dif
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),2999.0,4999.0,3.9,40.01
Rashnik 2 Burner Gas Table Top Cooker (Rn-1529S) – Silver,1299.0,1320.0,3.8,1.59
Nunix Bottom Load Hot And Normal Water Dispenser With Kettle (A1BLACK),7499.0,7920.0,3.6,5.32
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",18299.0,28599.0,3.9,36.02
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)",4999.0,7599.0,4.0,34.22
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green (1YR WRTY)",8399.0,10000.0,4.5,16.01
"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)",17599.0,18480.0,3.9,4.77
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",499.0,749.0,4.4,33.38
Timack Wireless Bluetooth Earpods Magnetic Neckband Waterproof Sports Earphone Noise Cancelling Earbuds,343.0,500.0,3.5,31.4
HP USB Flash Drive-2.0-64gb-silver KE03-18-64g,590.0,800.0,4.2,26.25
2.4G  Bluetooth Dual Mode Rechargeable Wireless Mouse Black,320.0,590.0,4.6,45.76
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",837.0,1500.0,4.1,44.2
AILYONS HD-198A Electric Dry Iron Box White & Blue,759.0,1299.0,3.8,41.57
128GB OTG Usb Flash Drive Micro Usb Type C All In One Unit,644.0,999.0,3.5,35.54
"Home Design ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",840.0,850.0,3.9,1.18
UWY 128GB Pendrive Flash  Drive Metal High Speed,590.0,1100.0,3.7,46.36
HOMMY Portable Wardrobe 3 Column - Grey Cover,2299.0,3569.0,3.8,35.58
Fashion Business All-match Watch For Men Waterproof Designer Quartz Fashion Wrist Watch,344.0,599.0,4.2,42.57
"Smart Pro SKL-816 Electric Kettle, 2L, 1500W - Silver/Black",749.0,1199.0,4.1,37.53
T&G TG117 Portable Bluetooth Wireless Speaker,850.0,1600.0,4.1,46.88
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 2.0 L - Red,599.0,1099.0,3.8,45.5
MK TV Guard  + FRIDGE Guard + A FREE 4 Way Extension Cable.,1320.0,1330.0,4.0,0.75
Fashion T-shirt Men's Long Sleeved Striped Casual Shirt Round Neck - Black,538.0,650.0,3.4,17.23
Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),599.0,659.0,3.9,9.1
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,403.0,787.0,3.8,48.79
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 1.8 L - Silver,799.0,1999.0,4.1,60.03
Fashion Mens Sneakers Non Slip Lightweight Breathable  Running Shoes,451.0,700.0,3.6,35.57
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,825.0,1598.0,3.8,48.37
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",728.0,1040.0,4.5,30.0
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,374.0,769.0,3.8,51.37
