name,price,old price,rating
AILYONS AFK-111 Water Dispenser Hot And Normal With Storage Cabinet (1YR WRTY),"KSh 2,999","KSh 4,999",3.9 out of 5
Rashnik 2 Burner Gas Table Top Cooker (Rn-1529S) – Silver,"KSh 1,299","KSh 1,320",3.8 out of 5
Nunix Bottom Load Hot And Normal Water Dispenser With Kettle (A1BLACK),"KSh 7,499","KSh 7,920",3.6 out of 5
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 18,299","KSh 28,599",3.9 out of 5
Lyons LES4304W 43” 2K FHD Smart Android Frameless TV With Bluetooth - Black (1YR WRTY),"KSh 16,999","KSh 34,999",No rating
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 4,999","KSh 7,599",4 out of 5
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green (1YR WRTY)","KSh 8,399","KSh 10,000",4.5 out of 5
"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 17,599","KSh 18,480",3.9 out of 5
"VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 23,599","KSh 35,000",No rating
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual Sim) 5000mAh, White","KSh 8,399","KSh 10,000",No rating
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",KSh 499,KSh 749,4.4 out of 5
Timack Wireless Bluetooth Earpods Magnetic Neckband Waterproof Sports Earphone Noise Cancelling Earbuds,KSh 343,KSh 500,3.5 out of 5
HP USB Flash Drive-2.0-64gb-silver KE03-18-64g,KSh 590,KSh 800,4.2 out of 5
2.4G  Bluetooth Dual Mode Rechargeable Wireless Mouse Black,KSh 320,KSh 590,4.6 out of 5
Rashnik New 2.3 Litres Cordless Kettle - Blue,KSh 896,N/A,3.5 out of 5
TCL 65Inch V6B UHD 4K HDR Google TV With Dolby Audio HDR 10 – 65V6B (New 2024 Model),"KSh 79,999","KSh 106,000",No rating
"Home Design Rotating 14"" - 55"" Full Motion Swivel TV Bracket",KSh 837,"KSh 1,500",4.1 out of 5
Fashion Women's Canvas Shoes Women Sneakers-White,KSh 549 - KSh 649,KSh 650,No rating
AILYONS HD-198A Electric Dry Iron Box White & Blue,KSh 759,"KSh 1,299",3.8 out of 5
Rashnik Manual Water Dispenser Pump,KSh 253,N/A,4.1 out of 5
128GB OTG Usb Flash Drive Micro Usb Type C All In One Unit,KSh 644,KSh 999,3.5 out of 5
"Home Design ROTATING 14""-55"" TILT ROTATING WALL MOUNT BRACKET",KSh 840,KSh 850,3.9 out of 5
UWY 128GB Pendrive Flash  Drive Metal High Speed,KSh 590,"KSh 1,100",3.7 out of 5
HOMMY Portable Wardrobe 3 Column - Grey Cover,"KSh 2,299","KSh 3,569",3.8 out of 5
Fashion Business All-match Watch For Men Waterproof Designer Quartz Fashion Wrist Watch,KSh 344,KSh 599,4.2 out of 5
【Besundy】Wireless Neckband Bluetooth Stylish Sports Earphone Game Playing Earpods,KSh 359,N/A,4.1 out of 5
"Smart Pro SKL-816 Electric Kettle, 2L, 1500W - Silver/Black",KSh 749,"KSh 1,199",4.1 out of 5
Red Berry RB134 - 4 In 1 Blender - 300W - Black (1YR WRTY),"KSh 2,688",N/A,4.1 out of 5
T&G TG117 Portable Bluetooth Wireless Speaker,KSh 850,"KSh 1,600",4.1 out of 5
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 2.0 L - Red,KSh 599,"KSh 1,099",3.8 out of 5
MK TV Guard  + FRIDGE Guard + A FREE 4 Way Extension Cable.,"KSh 1,320","KSh 1,330",4 out of 5
Fashion T-shirt Men's Long Sleeved Striped Casual Shirt Round Neck - Black,KSh 538,KSh 650,3.4 out of 5
Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),KSh 599,KSh 659,3.9 out of 5
Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 403,KSh 787,3.8 out of 5
Nice One Stainless Steel Vacuum Flask High-Quality Thermos - 1.8 L - Silver,KSh 799,"KSh 1,999",4.1 out of 5
Fashion Mens Sneakers Non Slip Lightweight Breathable  Running Shoes,KSh 451,KSh 700,3.6 out of 5
"TCL 55P635-55"" Inch, 4K ULTRA HD GOOGLE TV,VOICE CONTROL/NETFLIX,BLUETOOTH+2YRS WARRANTY","KSh 50,999","KSh 100,000",No rating
Fashion 4 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags,KSh 825,"KSh 1,598",3.8 out of 5
"NIVEA Pearl & Beauty Black Pearl Fine Fragrance Anti-Perspirant Roll-On, 48h - 50ml (Pack Of 2)",KSh 728,"KSh 1,040",4.5 out of 5
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,KSh 374,KSh 769,3.8 out of 5
